workload,LR_MAPE,RF_MAPE,LR_MAE,RF_MAE,LR_RMSE,RF_RMSE,p_value,A12,significant
AUFNIRA_z3.637557.smt2.csv,7.444855071010337,0.0037526553930406366,88.62280613811357,0.29880965346534943,100.67835866684446,0.5689821119177979,9.313225746154785e-10,1.0,YES
LRA_formula_277.smt2.csv,0.11143649373853025,0.003236744590260889,0.3177462428258467,0.008880099009900728,0.3240590343590946,0.015631169970990743,9.313225746154785e-10,1.0,YES
QF_AUFBV_891_sqlite3.smt2.csv,4.833038861001193,0.032949675507399065,9.99444112911027,0.4151953575357528,13.21336821117892,1.1525364000530913,9.313225746154785e-10,1.0,YES
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.131329221331071,0.004248588134865777,0.9667655156245062,0.03629960396039593,1.182544428371463,0.054749330246243365,9.313225746154785e-10,1.0,YES
QF_BV_bench_3176.smt2.csv,9.894101246356026,0.009059875204170075,132.39481682604702,1.4505950531719878,152.02395595976503,3.498145291083565,9.313225746154785e-10,1.0,YES
QF_BV_bench_935.smt2.csv,17.132908231546672,0.006878398796684917,93.20900995246961,0.9774427942794287,96.95957392966596,2.297875388869083,9.313225746154785e-10,1.0,YES
QF_LIA_tightrhombus.csv,0.7292990862281247,0.00777271956564407,0.5823943113274684,0.010334596626330104,0.7968464015056588,0.017414418544330266,9.313225746154785e-10,1.0,YES
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.053839366163548036,0.001194275732743252,0.7413358613482648,0.017012220572058655,0.8777697601003533,0.02494572131733059,9.313225746154785e-10,1.0,YES
QF_NRA_hong_9.smt2.csv,0.002113624868946536,0.0022488902498659703,0.009108363078492283,0.009732761276127778,0.015489081325755251,0.016837374507380765,0.9999999767169356,0.06666666666666667,NO
QF_RDL_orb08_888.smt2.csv,0.028507800374990275,0.003928491789620925,0.2622775554692379,0.03976924642464283,0.33458279340424346,0.052939545115109614,9.313225746154785e-10,1.0,YES
QF_UFLIA_xs_23_43.smt2.csv,0.36410031003897375,0.005505722431994823,8.173993727600696,0.1794252475247535,9.90976665050071,0.38362511007792527,9.313225746154785e-10,1.0,YES
QF_UF_PEQ018_size6.smt2.csv,9.54998793135626,0.00527859328104807,164.11490770318144,0.34700347084708033,206.29261206743547,0.6431820786356286,9.313225746154785e-10,1.0,YES
